"url","testStatus","mobileFriendliness"
"http://www.3dayblinds.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Textlinkbrokers.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Aamfg.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Carmoves.Com","COMPLETE","NOT_MOBILE_FRIENDLY"
"http://www.Mlb.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Chevronwithtechron.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Asecondlook.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.A1golfcarts.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Wecanpump.Com","PAGE_UNREACHABLE",NA
"http://www.Planetrecyclingphoenix.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Planeta1.Net","PAGE_UNREACHABLE",NA
"http://www.Aaa.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Associatedasset.Com","COMPLETE","NOT_MOBILE_FRIENDLY"
"http://www.Foodtrucknewz.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Ableengineering.Com","COMPLETE","NOT_MOBILE_FRIENDLY"
"http://www.Abssladders.Com","COMPLETE","MOBILE_FRIENDLY"
"http://www.Marriott.Com","COMPLETE","MOBILE_FRIENDLY"
